# x	y	u	v	s2n	mask
 26.5000	 27.5000	 -0.1190	 -5.2458	  0.0000	  0.0000
 50.5000	 27.5000	 -0.4489	 -5.8442	  0.0000	  0.0000
 74.5000	 27.5000	 -0.3134	 -6.1293	  0.0000	  0.0000
 98.5000	 27.5000	 -0.2079	 -6.0817	  0.0000	  0.0000
122.5000	 27.5000	 -0.1438	 -6.0555	  0.0000	  0.0000
146.5000	 27.5000	  0.0495	 -5.5601	  0.0000	  0.0000
170.5000	 27.5000	  0.3884	 -5.7489	  0.0000	  0.0000
194.5000	 27.5000	  0.4047	 -5.9736	  0.0000	  0.0000
218.5000	 27.5000	  0.6592	 -5.9455	  0.0000	  0.0000
242.5000	 27.5000	  0.7923	 -5.5874	  0.0000	  0.0000
266.5000	 27.5000	 -0.2130	 -4.9222	  0.0000	  0.0000
290.5000	 27.5000	 -0.0874	 -5.9381	  0.0000	  0.0000
314.5000	 27.5000	 -0.1965	 -6.0290	  0.0000	  0.0000
338.5000	 27.5000	  0.0278	 -6.0637	  0.0000	  0.0000
362.5000	 27.5000	 -0.2834	 -5.7565	  0.0000	  0.0000
386.5000	 27.5000	 -0.1600	 -5.6820	  0.0000	  0.0000
410.5000	 27.5000	 -0.2713	 -5.8130	  0.0000	  0.0000
434.5000	 27.5000	 -0.3168	 -5.2494	  0.0000	  0.0000
458.5000	 27.5000	  0.1240	 -5.9571	  0.0000	  0.0000
482.5000	 27.5000	 -0.2454	 -5.9551	  0.0000	  0.0000
 26.5000	 51.5000	 -0.4679	 -5.2962	  0.0000	  0.0000
 50.5000	 51.5000	 -0.2965	 -5.9098	  0.0000	  0.0000
 74.5000	 51.5000	 -0.0356	 -6.1865	  0.0000	  0.0000
 98.5000	 51.5000	  0.0066	 -6.1211	  0.0000	  0.0000
122.5000	 51.5000	  0.2211	 -6.0774	  0.0000	  0.0000
146.5000	 51.5000	  0.3895	 -5.8685	  0.0000	  0.0000
170.5000	 51.5000	  0.3754	 -5.8466	  0.0000	  0.0000
194.5000	 51.5000	  0.5608	 -6.1569	  0.0000	  0.0000
218.5000	 51.5000	 -0.0980	 -6.1483	  0.0000	  0.0000
242.5000	 51.5000	 -0.1355	 -5.1254	  0.0000	  0.0000
266.5000	 51.5000	 -0.6166	 -4.7733	  0.0000	  0.0000
290.5000	 51.5000	 -0.5972	 -5.0472	  0.0000	  0.0000
314.5000	 51.5000	 -0.2330	 -5.2859	  0.0000	  0.0000
338.5000	 51.5000	  0.0444	 -5.5445	  0.0000	  0.0000
362.5000	 51.5000	  0.1124	 -6.0746	  0.0000	  0.0000
386.5000	 51.5000	 -0.1997	 -5.7678	  0.0000	  0.0000
410.5000	 51.5000	 -0.3072	 -5.4771	  0.0000	  0.0000
434.5000	 51.5000	 -0.3668	 -5.1381	  0.0000	  0.0000
458.5000	 51.5000	  0.0883	 -5.5798	  0.0000	  0.0000
482.5000	 51.5000	 -0.2150	 -6.6545	  0.0000	  0.0000
 26.5000	 75.5000	 -0.6808	 -5.0519	  0.0000	  0.0000
 50.5000	 75.5000	 -0.9103	 -5.8263	  0.0000	  0.0000
 74.5000	 75.5000	 -1.0188	 -6.1357	  0.0000	  0.0000
 98.5000	 75.5000	  0.0004	 -6.0264	  0.0000	  0.0000
122.5000	 75.5000	  0.1278	 -5.9897	  0.0000	  0.0000
146.5000	 75.5000	  0.2893	 -5.6319	  0.0000	  0.0000
170.5000	 75.5000	  0.7986	 -5.0673	  0.0000	  0.0000
194.5000	 75.5000	  0.6432	 -5.7244	  0.0000	  0.0000
218.5000	 75.5000	 -0.6594	 -5.8510	  0.0000	  0.0000
242.5000	 75.5000	 -0.1951	 -5.1238	  0.0000	  0.0000
266.5000	 75.5000	 -0.6383	 -4.8039	  0.0000	  0.0000
290.5000	 75.5000	 -0.6260	 -4.9756	  0.0000	  0.0000
314.5000	 75.5000	 -0.4771	 -5.2047	  0.0000	  0.0000
338.5000	 75.5000	 -0.3290	 -5.2801	  0.0000	  0.0000
362.5000	 75.5000	 -0.0458	 -5.8415	  0.0000	  0.0000
386.5000	 75.5000	 -0.1383	 -5.9429	  0.0000	  0.0000
410.5000	 75.5000	 -0.5677	 -5.6649	  0.0000	  0.0000
434.5000	 75.5000	 -0.2662	 -5.0756	  0.0000	  0.0000
458.5000	 75.5000	 -0.8239	 -5.6752	  0.0000	  0.0000
482.5000	 75.5000	 -0.5415	 -6.2869	  0.0000	  0.0000
 26.5000	 99.5000	  0.1426	 -5.0857	  0.0000	  0.0000
 50.5000	 99.5000	 -0.0028	 -5.3024	  0.0000	  0.0000
 74.5000	 99.5000	 -0.0267	 -5.4270	  0.0000	  0.0000
 98.5000	 99.5000	  0.2385	 -5.1361	  0.0000	  0.0000
122.5000	 99.5000	  0.6844	 -5.1721	  0.0000	  0.0000
146.5000	 99.5000	  0.5668	 -4.9843	  0.0000	  0.0000
170.5000	 99.5000	  0.5930	 -5.0922	  0.0000	  0.0000
194.5000	 99.5000	  0.1216	 -6.1939	  0.0000	  0.0000
218.5000	 99.5000	  0.0071	 -6.0014	  0.0000	  0.0000
242.5000	 99.5000	  0.0190	 -5.5350	  0.0000	  0.0000
266.5000	 99.5000	 -0.3728	 -5.0927	  0.0000	  0.0000
290.5000	 99.5000	 -0.2955	 -4.8905	  0.0000	  0.0000
314.5000	 99.5000	 -0.4469	 -5.1717	  0.0000	  0.0000
338.5000	 99.5000	 -0.7319	 -5.6584	  0.0000	  0.0000
