time,site,infector
1,SÃO PAULO,NA
3,CAMPINAS,SÃO PAULO
3,Niterói,SÃO PAULO
3,BELO HORIZONTE,SÃO PAULO
3,CURITIBA,SÃO PAULO
3,RIO DE JANEIRO,SÃO PAULO
4,CAMPO GRANDE,SÃO PAULO
4,GOIANIA,SÃO PAULO
4,JOINVILLE,SÃO PAULO
4,JUIZ DE FORA,SÃO PAULO
4,LONDRINA,SÃO PAULO
4,MARINGÁ,SÃO PAULO
4,Pouso Alegre,SÃO PAULO
4,VITÓRIA DA CONQUISTA,SÃO PAULO
4,Volta Redonda,SÃO PAULO
4,Mogi Guaçu,SÃO PAULO
5,ANÁPOLIS,SÃO PAULO
5,ARACAJU,SÃO PAULO
5,ARAÇATUBA,SÃO PAULO
5,Araguari,SÃO PAULO
5,Barbacena,SÃO PAULO
5,BARRA MANSA,SÃO PAULO
5,BLUMENAU,SÃO PAULO
5,Bragança Paulista,SÃO PAULO
5,Cachoeiro de Itapemirim,SÃO PAULO
5,CAMPINA GRANDE,SÃO PAULO
5,CARUARU,SÃO PAULO
5,CASCAVEL,SÃO PAULO
5,Chapecó,SÃO PAULO
5,Colatina,SÃO PAULO
5,Crato,SÃO PAULO
5,CRICIÚMA,SÃO PAULO
5,CUIABÁ,SÃO PAULO
5,FLORIANÓPOLIS,SÃO PAULO
5,FOZ DO IGUAÇU,SÃO PAULO
5,Garanhuns,SÃO PAULO
5,GOVERNADOR VALADARES,SÃO PAULO
5,ITABUNA,SÃO PAULO
5,ITAJAÍ,SÃO PAULO
5,JOÃO PESSOA,SÃO PAULO
5,Juazeiro,SÃO PAULO
5,JUAZEIRO DO NORTE,SÃO PAULO
5,LAGES,SÃO PAULO
5,MACEIÓ,SÃO PAULO
5,Mossoró,SÃO PAULO
5,NATAL,SÃO PAULO
5,PALMAS,SÃO PAULO
5,PARNAÍBA,SÃO PAULO
5,PASSO FUNDO,SÃO PAULO
5,Patos de Minas,SÃO PAULO
5,Petrolina,SÃO PAULO
5,PONTA GROSSA,SÃO PAULO
5,PORTO VELHO,SÃO PAULO
5,Resende,SÃO PAULO
5,Rondonópolis,SÃO PAULO
5,SÃO JOSÉ DOS CAMPOS,SÃO PAULO
5,SÃO LUÍS,SÃO PAULO
5,Teixeira de Freitas,SÃO PAULO
5,Teófilo Otoni,SÃO PAULO
5,TERESINA,SÃO PAULO
5,UBERABA,SÃO PAULO
5,UBERLÂNDIA,SÃO PAULO
5,VITÓRIA,SÃO PAULO
5,BELÉM,SÃO PAULO
5,FORTALEZA,SÃO PAULO
5,PORTO ALEGRE,SÃO PAULO
5,RECIFE,SÃO PAULO
5,SALVADOR,SÃO PAULO
5,BRASÍLIA,SÃO PAULO
5,Cabo Frio,SÃO PAULO
5,Varginha,SÃO PAULO
7,PRESIDENTE PRUDENTE,CURITIBA
7,SÃO JOSÉ DO RIO PRETO,RIO DE JANEIRO
7,RIO BRANCO,SÃO PAULO
8,FRANCA,BELO HORIZONTE
9,Barretos,BELO HORIZONTE
