,M,m,mu,R,T,comments
Sun-Earth (default),Sun,Earth,3.001348389698916e-06,149600000.0,31536000.0,Default constant set for Sun-Earth system
Earth-Moon (default),Earth,Moon,0.012158018248006152,384400.0,2358720.0,Default constant set for Earth-Moon system
Sun-Venus (2026-12-05),Sun,Venus,2.447832295887157e-06,107602444.23103774,19414079.999999996,Venus-D project constant set for Sun-Venus @ 2026-12-05
Extreme 0.49,M,m,0.49,1.0,1.0,Extreme constant set
