name,media_type,category,production_score,personality_score,information_score,consistency_score,rank
Veritasium,youtube,stem,9,7,10,10,1
Numberphile,youtube,stem,7,9,10,8,2
3Blue1Brown,youtube,stem,10,6,10,10,3
Steve Mould,youtube,stem,7,7,10,9,4
minutephysics,youtube,stem,8,3,9,7,5
SmarterEveryDay,youtube,stem,8,9,8,7,6
Yannic Kilcher,youtube,stem,7,6,9,8,7
My Self Reliance,youtube,craft,10,8,7,6,8
Sampson Boat Co,youtube,craft,7,7,8,6,9
The Royal Institution,youtube,stem,10,1,9,5,10
Sixty Symbols,youtube,stem,8,3,8,5,11
Practical Engineering,youtube,stem,7,5,7,8,12
Two Minute Papers,youtube,stem,6,5,6,5,13
Computerphile,youtube,stem,6,4,5,4,14
Chris Salomone,youtube,craft,9,7,5,6,15
Josh Turner Guitar,youtube,music,6,7,1,8,16
Sean Angus Watson,youtube,music,5,7,1,7,17
Food Wishes,youtube,cooking,7,10,8,7,18
Simone Giertz,youtube,craft,7,10,7,9,19
NileRed,youtube,stem,6,6,9,7,20
