name,media_type,category,production_score,personality_score,information_score,consistency_score,rank
Making Sense,podcast,general,10,8,10,10,1
Lex Fridman,podcast,stem,9,9,9,10,2
Mindscape,podcast,stem,8,9,8,6,3
Reply All,podcast,general,9,8,9,8,4
The Portal,podcast,general,7,7,9,4,5
Armchair Expert,podcast,general,8,9,8,8,6
The Daily,podcast,general,9,6,9,8,7
Talking Machines,podcast,stem,8,9,7,7,8
