round,geocode,name,infection_time,degree,seed,seedname
0,4550601 ,Santo Cristo 1 ,False, 77, 4550603, Rodoviaria
0,4550602 ,Santo Cristo 2 ,2, 129, 4550603, Rodoviaria
0,4550603 ,Rodoviaria ,1, 130, 4550603, Rodoviaria
0,4550604 ,Santo Cristo ,5, 129, 4550603, Rodoviaria
0,4550605 ,Praca Maua ,4, 130, 4550603, Rodoviaria
0,4550606 ,Caju ,False, 39, 4550603, Rodoviaria
0,4550701 ,Av.Passos ,4, 232, 4550603, Rodoviaria
0,4550702 ,Mal.Floriano ,4, 232, 4550603, Rodoviaria
0,4550703 ,Candelaria ,4, 214, 4550603, Rodoviaria
0,4550704 ,1o. de marco ,4, 229, 4550603, Rodoviaria
0,4550705 ,Aerop.S.Dumont ,2, 214, 4550603, Rodoviaria
0,4550706 ,Alm. Barroso ,2, 230, 4550603, Rodoviaria
0,4550707 ,Passeio Publico ,5, 203, 4550603, Rodoviaria
0,4550708 ,Av. Chile ,3, 232, 4550603, Rodoviaria
0,4550709 ,Cruz Vermelha ,3, 203, 4550603, Rodoviaria
0,4550710 ,Praca da Republica ,4, 214, 4550603, Rodoviaria
0,4550711 ,Central do Brasil ,4, 214, 4550603, Rodoviaria
0,4550801 ,Sambodromo ,6, 129, 4550603, Rodoviaria
0,4550802 ,Piranhao ,2, 129, 4550603, Rodoviaria
0,4550803 ,Estacio ,4, 214, 4550603, Rodoviaria
0,4550804 ,Rio Comprido 1 ,4, 214, 4550603, Rodoviaria
0,4550805 ,Rio Comprido 2 ,2, 213, 4550603, Rodoviaria
0,4550806 ,Campos da Paz ,3, 213, 4550603, Rodoviaria
0,4550807 ,Catumbi ,False, 63, 4550603, Rodoviaria
0,4550901 ,MAM ,False, 47, 4550603, Rodoviaria
0,4550902 ,Gloria ,4, 130, 4550603, Rodoviaria
0,4550903 ,Catete ,False, 65, 4550603, Rodoviaria
0,4550904 ,Sao Salvador ,3, 172, 4550603, Rodoviaria
0,4550905 ,Largo do Machado ,False, 65, 4550603, Rodoviaria
0,4550906 ,Morro da Viuva ,3, 205, 4550603, Rodoviaria
0,4550907 ,Rua das Laranjeiras ,False, 150, 4550603, Rodoviaria
0,4550908 ,General Glicerio ,2, 172, 4550603, Rodoviaria
0,4550909 ,Cosme Velho ,3, 205, 4550603, Rodoviaria
0,4550910 ,Dona Marta ,False, 65, 4550603, Rodoviaria
0,4550911 ,Humaita ,False, 100, 4550603, Rodoviaria
0,4550912 ,Gal. Polidoro ,False, 65, 4550603, Rodoviaria
0,4550913 ,Venceslau Braz ,False, 65, 4550603, Rodoviaria
0,4550914 ,Praia de Botafogo ,False, 36, 4550603, Rodoviaria
0,4550915 ,Urca ,False, 65, 4550603, Rodoviaria
0,4551001 ,Leme ,4, 205, 4550603, Rodoviaria
0,4551002 ,Lido ,False, 65, 4550603, Rodoviaria
0,4551003 ,Siqueira Campos ,False, 36, 4550603, Rodoviaria
0,4551004 ,Bolivar ,False, 65, 4550603, Rodoviaria
0,4551005 ,Sousa Lima ,False, 150, 4550603, Rodoviaria
0,4551101 ,Arpoador ,False, 150, 4550603, Rodoviaria
0,4551102 ,Farme de Amoedo ,False, 150, 4550603, Rodoviaria
0,4551103 ,Praca N.S. Paz ,False, 65, 4550603, Rodoviaria
0,4551104 ,Jardim de Alah ,False, 100, 4550603, Rodoviaria
0,4551105 ,Morro da Catacumba ,2, 205, 4550603, Rodoviaria
0,4551106 ,Fonte da Saudade ,4, 205, 4550603, Rodoviaria
0,4551107 ,Parque Lage ,4, 172, 4550603, Rodoviaria
0,4551108 ,Hipica ,2, 205, 4550603, Rodoviaria
0,4551109 ,Jardim Botanico ,False, 150, 4550603, Rodoviaria
0,4551110 ,Joquei ,False, 150, 4550603, Rodoviaria
0,4551111 ,Carlos Gois ,False, 65, 4550603, Rodoviaria
0,4551112 ,Leblon ,False, 65, 4550603, Rodoviaria
0,4551113 ,Gavea ,False, 65, 4550603, Rodoviaria
0,4551114 ,Vidigal ,3, 204, 4550603, Rodoviaria
0,4551115 ,Sao Conrado ,False, 65, 4550603, Rodoviaria
0,4551201 ,Fonseca Teles ,False, 39, 4550603, Rodoviaria
0,4551202 ,Campo S.Cristovao ,False, 39, 4550603, Rodoviaria
0,4551203 ,Rua Bela ,False, 39, 4550603, Rodoviaria
0,4551204 ,Praia Formosa ,False, 37, 4550603, Rodoviaria
0,4551205 ,Rua Escobar ,False, 39, 4550603, Rodoviaria
0,4551206 ,Francisco Eugenio ,False, 38, 4550603, Rodoviaria
0,4551207 ,Quinta Boa Vista ,False, 39, 4550603, Rodoviaria
0,4551208 ,Mangueira ,False, 39, 4550603, Rodoviaria
0,4551209 ,Tuiuti ,False, 39, 4550603, Rodoviaria
0,4551210 ,Benfica 1 ,False, 39, 4550603, Rodoviaria
0,4551211 ,Benfica 2 ,False, 39, 4550603, Rodoviaria
0,4551301 ,Praca da Bandeira ,False, 36, 4550603, Rodoviaria
0,4551302 ,Afonso Pena ,False, 36, 4550603, Rodoviaria
0,4551303 ,Rua do Bispo ,False, 36, 4550603, Rodoviaria
0,4551304 ,S.F.Xavier ,False, 36, 4550603, Rodoviaria
0,4551305 ,Saens Pena ,False, 36, 4550603, Rodoviaria
0,4551306 ,Muda ,False, 36, 4550603, Rodoviaria
0,4551307 ,Rua Sao Miguel ,False, 36, 4550603, Rodoviaria
0,4551308 ,Alto da Boa Vista ,4, 205, 4550603, Rodoviaria
0,4551309 ,Sumare ,4, 175, 4550603, Rodoviaria
0,4551310 ,Vista Chinesa ,3, 205, 4550603, Rodoviaria
0,4551401 ,Morais e Silva ,False, 22, 4550603, Rodoviaria
0,4551402 ,Maracana ,False, 22, 4550603, Rodoviaria
0,4551403 ,Pereira das Neves ,False, 22, 4550603, Rodoviaria
0,4551404 ,Vila Isabel 1 ,False, 22, 4550603, Rodoviaria
0,4551405 ,Vila Isabel 2 ,False, 22, 4550603, Rodoviaria
0,4551406 ,Morro dos Macacos ,False, 22, 4550603, Rodoviaria
0,4551407 ,Praca Sete ,False, 22, 4550603, Rodoviaria
0,4551408 ,Andarai 1 ,False, 22, 4550603, Rodoviaria
0,4551409 ,Andarai 2 ,False, 22, 4550603, Rodoviaria
0,4551410 ,Grajau 1 ,False, 22, 4550603, Rodoviaria
0,4551411 ,Grajau 2 ,False, 22, 4550603, Rodoviaria
